web-1  | /docker-entrypoint.sh: /docker-entrypoint.d/ is not empty, will attempt to perform configuration
web-1  | /docker-entrypoint.sh: Looking for shell scripts in /docker-entrypoint.d/
web-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/10-listen-on-ipv6-by-default.sh
web-1  | 10-listen-on-ipv6-by-default.sh: info: Getting the checksum of /etc/nginx/conf.d/default.conf
web-1  | 10-listen-on-ipv6-by-default.sh: info: Enabled listen on IPv6 in /etc/nginx/conf.d/default.conf
web-1  | /docker-entrypoint.sh: Sourcing /docker-entrypoint.d/15-local-resolvers.envsh
web-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/20-envsubst-on-templates.sh
web-1  | /docker-entrypoint.sh: Launching /docker-entrypoint.d/30-tune-worker-processes.sh
web-1  | /docker-entrypoint.sh: Configuration complete; ready for start up
web-1  | 2026/04/27 15:31:45 [notice] 1#1: using the "epoll" event method
web-1  | 2026/04/27 15:31:45 [notice] 1#1: nginx/1.29.8
web-1  | 2026/04/27 15:31:45 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0)
web-1  | 2026/04/27 15:31:45 [notice] 1#1: OS: Linux 6.17.0-22-generic
web-1  | 2026/04/27 15:31:45 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1024:524288
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker processes
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 30
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 31
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 32
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 33
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 34
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 35
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 36
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 37
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 38
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 39
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 40
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 41
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 42
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 43
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 44
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 45
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 46
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 47
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 48
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 49
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 50
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 51
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 52
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 53
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 54
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 55
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 56
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 57
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 58
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 59
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 60
web-1  | 2026/04/27 15:31:45 [notice] 1#1: start worker process 61
web-1  | 172.18.0.1 - - [27/Apr/2026:15:31:48 +0000] "GET / HTTP/1.1" 200 896 "-" "curl/8.5.0" "-"
